City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
194,Bredasdorp,ZA,2020-01-04 20:07:02,-34.53,20.04,68.0,64,25,8.05
195,Caceres,CO,2020-01-04 20:07:02,5.53,-74.53,80.11,69,26,3.8
196,Laguna,BZ,2020-01-04 20:07:03,16.17,-88.94,86.0,66,40,9.17
197,Riyadh,SA,2020-01-04 20:07:03,24.63,46.72,66.2,55,40,4.7
198,Falun,SE,2020-01-04 20:07:03,60.61,15.63,33.01,63,0,9.17
199,Luanda,AO,2020-01-04 20:03:56,-8.83,13.24,77.0,88,75,6.93
200,Energetik,RU,2020-01-04 20:07:04,51.74,58.8,12.94,96,69,8.93
201,Malinovoye Ozero,RU,2020-01-04 20:07:04,51.68,79.77,18.82,88,95,10.36
202,Zeya,RU,2020-01-04 20:07:04,53.74,127.27,-20.92,98,0,2.84
203,Thompson,CA,2020-01-04 20:03:00,55.74,-97.86,1.4,77,90,5.82
204,Mehran,IR,2020-01-04 20:07:04,33.12,46.17,35.6,93,0,2.24
205,Morondava,MG,2020-01-04 20:07:05,-20.3,44.28,77.31,85,0,1.25
206,Edd,ER,2020-01-04 20:07:05,13.93,41.69,77.63,62,0,4.85
207,Egvekinot,RU,2020-01-04 20:07:05,66.32,-179.17,-12.78,59,0,11.68
208,Kahului,US,2020-01-04 20:02:25,20.89,-156.47,77.0,78,20,18.34
209,Saint-Philippe,CA,2020-01-04 20:07:05,45.36,-73.48,33.01,92,90,12.75
210,Pangnirtung,CA,2020-01-04 20:07:06,66.15,-65.72,1.4,77,75,6.93
211,Cidreira,BR,2020-01-04 20:05:46,-30.17,-50.22,73.17,80,23,17.76
212,Sinnamary,GF,2020-01-04 20:06:06,5.38,-52.96,79.81,80,100,14.85
213,Kununurra,AU,2020-01-04 20:07:06,-15.77,128.74,80.6,88,77,2.24
214,Grimshaw,CA,2020-01-04 20:07:07,56.19,-117.61,24.8,73,20,12.75
215,Nieuw Amsterdam,SR,2020-01-04 20:07:07,5.88,-55.08,86.0,70,40,13.87
216,Tecpan,GT,2020-01-04 20:07:07,14.76,-90.99,73.4,56,40,20.8
217,Corinto,CO,2020-01-04 20:07:07,3.17,-76.26,89.6,43,40,3.36
218,Dalvik,SE,2020-01-04 20:07:08,57.79,14.13,33.01,56,0,11.41
219,Pyu,MM,2020-01-04 20:07:08,18.48,96.43,67.6,76,0,6.2
